Equipo,Tiros,A_Gol,Goles,Ratio_TiroAGolxTiro,Ratio_GolxTiro,Ratio_GolxTiroAGol
Santos Laguna,14,5,2,0.357142857,0.142857143,0.4
Santos Laguna,15,9,3,0.6,0.2,0.333333333
Santos Laguna,18,11,5,0.611111111,0.277777778,0.454545455
Santos Laguna,6,2,0,0.333333333,0,0
Santos Laguna,10,1,0,0.1,0,0
Santos Laguna,15,10,4,0.666666667,0.266666667,0.4
Santos Laguna,22,6,2,0.272727273,0.090909091,0.333333333
Santos Laguna,15,6,1,0.4,0.066666667,0.166666667
Santos Laguna,15,4,2,0.266666667,0.133333333,0.5
Santos Laguna,8,3,2,0.375,0.25,0.666666667
Santos Laguna,15,6,3,0.4,0.2,0.5
Santos Laguna,16,5,2,0.3125,0.125,0.4
Santos Laguna,19,6,2,0.315789474,0.105263158,0.333333333
Santos Laguna,22,3,1,0.136363636,0.045454545,0.333333333
Santos Laguna,15,5,1,0.333333333,0.066666667,0.2
Santos Laguna,12,4,3,0.333333333,0.25,0.75
Santos Laguna,15,6,4,0.4,0.266666667,0.666666667
Santos Laguna,13,2,0,0.153846154,0,0
Santos Laguna,6,1,1,0.166666667,0.166666667,1
Santos Laguna,13,4,1,0.307692308,0.076923077,0.25
Santos Laguna,16,6,2,0.375,0.125,0.333333333
Santos Laguna,7,3,0,0.428571429,0,0
Santos Laguna,17,7,2,0.411764706,0.117647059,0.285714286
Santos Laguna,7,3,0,0.428571429,0,0
Santos Laguna,10,4,2,0.4,0.2,0.5
Santos Laguna,14,7,1,0.5,0.071428571,0.142857143
Santos Laguna,13,6,0,0.461538462,0,0
Tigres UANL,11,5,2,0.454545455,0.181818182,0.4
Tigres UANL,15,7,3,0.466666667,0.2,0.428571429
Tigres UANL,8,1,0,0.125,0,0
Tigres UANL,7,3,1,0.428571429,0.142857143,0.333333333
Tigres UANL,22,5,2,0.227272727,0.090909091,0.4
Tigres UANL,24,9,2,0.375,0.083333333,0.222222222
Tigres UANL,14,7,3,0.5,0.214285714,0.428571429
Tigres UANL,14,5,0,0.357142857,0,0
Tigres UANL,14,4,1,0.285714286,0.071428571,0.25
Tigres UANL,15,10,5,0.666666667,0.333333333,0.5
Tigres UANL,22,5,3,0.227272727,0.136363636,0.6
Tigres UANL,9,6,2,0.666666667,0.222222222,0.333333333
Tigres UANL,18,5,1,0.277777778,0.055555556,0.2
Tigres UANL,10,5,1,0.5,0.1,0.2
Tigres UANL,19,7,4,0.368421053,0.210526316,0.571428571
Tigres UANL,10,3,0,0.3,0,0
Tigres UANL,16,10,3,0.625,0.1875,0.3
Tigres UANL,20,7,2,0.35,0.1,0.285714286
Tigres UANL,18,8,2,0.444444444,0.111111111,0.25
Tigres UANL,10,6,3,0.6,0.3,0.5
Tigres UANL,18,7,3,0.388888889,0.166666667,0.428571429
Tigres UANL,7,3,0,0.428571429,0,0
Tigres UANL,10,2,1,0.2,0.1,0.5
Tigres UANL,7,2,1,0.285714286,0.142857143,0.5
Tigres UANL,11,6,2,0.545454545,0.181818182,0.333333333
Tigres UANL,10,2,1,0.2,0.1,0.5
Tigres UANL,13,4,1,0.307692308,0.076923077,0.25
Tigres UANL,9,2,0,0.222222222,0,0
Tigres UANL,10,5,1,0.5,0.1,0.2
Tigres UANL,20,6,1,0.3,0.05,0.166666667
Tigres UANL,9,3,0,0.333333333,0,0
Tigres UANL,8,0,0,0,0,#¡DIV/0!
Tigres UANL,18,7,4,0.388888889,0.222222222,0.571428571
Tigres UANL,10,3,0,0.3,0,0
Tigres UANL,7,2,1,0.285714286,0.142857143,0.5
Tigres UANL,10,3,3,0.3,0.3,1
Tigres UANL,8,2,1,0.25,0.125,0.5
Tigres UANL,9,2,1,0.222222222,0.111111111,0.5
Tigres UANL,15,5,1,0.333333333,0.066666667,0.2
Tigres UANL,16,9,1,0.5625,0.0625,0.111111111
Tigres UANL,18,4,1,0.222222222,0.055555556,0.25
Tigres UANL,18,2,0,0.111111111,0,0
Tigres UANL,8,3,2,0.375,0.25,0.666666667
Tigres UANL,11,8,4,0.727272727,0.363636364,0.5
Tigres UANL,8,4,3,0.5,0.375,0.75
Tigres UANL,15,4,1,0.266666667,0.066666667,0.25
Tigres UANL,16,1,1,0.0625,0.0625,1
Tigres UANL,14,3,0,0.214285714,0,0
Tigres UANL,13,6,0,0.461538462,0,0
Tigres UANL,4,3,2,0.75,0.5,0.666666667
Tigres UANL,4,2,2,0.5,0.5,1
Tigres UANL,14,4,2,0.285714286,0.142857143,0.5
Tigres UANL,14,3,0,0.214285714,0,0
Tigres UANL,11,4,0,0.363636364,0,0
Tigres UANL,16,3,2,0.1875,0.125,0.666666667
Tigres UANL,11,2,0,0.181818182,0,0
Tigres UANL,19,5,3,0.263157895,0.157894737,0.6
Tigres UANL,11,4,1,0.363636364,0.090909091,0.25
Tigres UANL,12,7,1,0.583333333,0.083333333,0.142857143
